Year,Winter,Spring,Summer,Autumn
1881,0,     7.60,    16.66,     8.52
1882,     2.06,     9.28,    15.48,     9.24
1883,     2.48,     6.59,    16.37,     9.37
1884,     3.41,     8.59,    16.45,     8.87
1885,     2.21,     7.59,    16.11,     7.98
1886,    -0.29,     8.02,    16.17,    10.70
1887,     0.21,     6.46,    16.76,     7.35
1888,    -0.74,     6.58,    15.17,     8.19
1889,    -0.01,     8.51,    16.79,     7.81
1890,     0.56,     8.46,    15.08,     8.51
1891,    -2.39,     7.12,    15.24,     9.55
1892,     1.51,     7.20,    16.16,     9.03
1893,    -0.68,     9.64,    16.94,     8.51
1894,     1.59,     9.42,    15.71,     8.56
1895,    -1.96,     8.11,    16.34,     9.64
1896,     0.97,     8.00,    16.10,     7.89
1897,     0.54,     8.10,    17.00,     8.25
1898,     2.77,     7.34,    15.77,     9.84
1899,     3.69,     7.20,    16.69,     9.56
1900,     0.82,     6.71,    16.71,     9.35
1901,    -0.11,     8.09,    16.78,     9.05
1902,     1.61,     7.21,    15.16,     7.71
1903,     2.19,     8.00,    15.25,     9.87
1904,     0.65,     8.35,    16.74,     8.32
1905,     1.98,     7.96,    17.31,     7.18
1906,     1.90,     8.00,    16.08,    10.24
1907,    -0.19,     7.94,    14.54,    10.08
1908,     1.28,     7.23,    16.20,     8.48
1909,    -0.02,     7.56,    14.80,     8.82
1910,     2.99,     8.36,    15.86,     8.58
1911,     2.36,     8.74,    18.04,     9.74
1912,     3.21,     8.91,    15.91,     7.02
1913,     3.03,     9.37,    14.58,    10.53
1914,     2.03,     8.93,    16.44,     8.80
1915,     2.97,     7.78,    16.10,     7.30
1916,     3.88,     8.79,    14.63,     9.14
1917,    -0.71,     6.98,    17.46,     9.32
1918,     1.56,     9.42,    15.02,     8.47
1919,     2.49,     7.49,    14.97,     7.41
1920,     3.48,    10.06,    15.62,     7.91
1921,     3.10,     9.51,    16.73,     9.05
1922,     0.56,     7.81,    15.38,     6.90
1923,     3.06,     8.15,    15.13,     8.89
1924,    -0.87,     7.80,    15.20,     9.23
1925,     3.78,     8.23,    16.57,     7.52
1926,     2.88,     8.47,    15.82,     9.92
1927,     2.25,     8.35,    15.78,     8.94
1928,     1.79,     7.50,    15.99,     9.50
1929,    -2.86,     7.50,    16.14,    10.58
1930,     3.42,     8.53,    16.89,     9.90
1931,     1.07,     7.78,    16.07,     8.36
1932,     1.45,     7.24,    17.35,     9.43
1933,     1.15,     8.73,    16.72,     8.99
1934,     0.29,     9.40,    16.82,    10.53
1935,     3.56,     7.59,    17.20,     9.81
1936,     2.55,     8.01,    16.48,     8.51
1937,     2.77,     8.77,    16.68,     9.31
1938,     1.97,     8.01,    16.69,    10.61
1939,     2.10,     7.81,    16.97,     9.22
1940,    -3.05,     8.66,    15.81,     9.02
1941,    -1.11,     6.82,    16.86,     8.50
1942,    -2.61,     7.94,    16.05,    10.39
1943,     3.07,     9.85,    16.51,     9.33
1944,     1.78,     7.75,    16.90,     8.98
1945,     1.38,    10.27,    16.93,     9.67
1946,     1.82,     9.46,    16.07,     9.33
1947,    -3.01,     9.44,    18.91,    10.60
1948,     3.04,    10.14,    16.17,     9.49
1949,     3.06,     8.72,    16.18,    10.93
1950,     3.02,     8.84,    17.62,     8.92
1951,     1.63,     7.42,    16.30,    10.13
1952,     2.10,     9.41,    16.81,     6.84
1953,     0.65,     9.27,    16.37,    10.44
1954,     0.63,     8.27,    15.12,    10.12
1955,     1.07,     6.54,    16.51,     9.15
1956,    -1.04,     7.70,    14.48,     9.02
1957,     3.75,     8.72,    16.55,     9.29
1958,     2.14,     6.62,    16.23,    10.07
1959,     2.04,    10.11,    17.90,     9.70
1960,     2.50,     9.04,    15.60,    10.04
1961,     2.96,     9.30,    15.49,    10.93
1962,     1.85,     6.32,    14.68,     8.56
1963,    -3.99,     8.35,    16.10,    10.25
1964,     0.15,     8.42,    16.78,     9.05
1965,     1.34,     7.59,    15.01,     8.08
1966,     2.70,     8.95,    15.97,     9.35
1967,     3.37,     8.53,    16.64,    10.01
1968,     1.17,     8.75,    16.23,     9.89
1969,     0.59,     7.67,    16.85,    10.47
1970,    -0.93,     6.84,    16.69,    10.26
1971,     1.88,     8.35,    16.44,     8.82
1972,     2.70,     8.34,    15.70,     8.00
1973,     2.18,     7.63,    17.44,     9.12
1974,     3.51,     8.83,    15.53,     8.35
1975,     5.05,     7.73,    17.67,     9.28
1976,     2.43,     7.74,    18.19,     9.90
1977,     2.20,     8.23,    15.85,     9.76
1978,     1.95,     8.41,    15.07,     9.28
1979,    -1.15,     7.89,    15.68,     9.33
1980,     2.75,     7.83,    15.67,     9.08
1981,     1.11,    10.05,    16.01,     9.32
1982,     0.40,     8.31,    17.50,    11.31
1983,     2.48,     8.32,    18.54,     9.54
1984,     2.11,     7.12,    15.76,    10.29
1985,    -0.88,     8.60,    15.49,     8.28
1986,     0.43,     8.12,    16.63,     9.72
1987,     0.12,     7.10,    15.56,    10.17
1988,     3.92,     9.00,    16.05,     9.41
1989,     4.39,     9.80,    16.98,    10.20
1990,     5.12,     9.88,    16.88,     9.52
1991,     1.20,     8.56,    16.69,     9.61
1992,     2.83,     9.80,    18.00,     9.11
1993,     2.32,    10.24,    15.90,     7.40
1994,     3.00,     9.32,    18.39,    10.13
1995,     4.06,     8.57,    18.10,    10.23
1996,    -0.83,     7.55,    16.31,     8.70
1997,     0.98,     9.09,    17.81,     9.19
1998,     4.33,     9.94,    16.24,     8.50
1999,     3.01,    10.13,    17.40,    10.66
2000,     3.70,    10.52,    16.48,    10.96
2001,     3.50,     9.06,    17.50,    10.32
2002,     3.59,     9.65,    17.76,     9.91
2003,     1.23,    10.08,    19.48,     9.43
2004,     2.86,     8.94,    16.88,    10.08
2005,     1.90,     9.50,    16.73,    11.12
2006,     1.00,     8.20,    18.22,    12.98
2007,     5.45,    11.22,    16.95,     9.17
